strain,Pop,fs_pop,level
HEL_CA4158AA_AS,H.pylori,hspHeco2,high
HEL_CA3483AA_AS,H.pylori,hspHeco2,high
HEL_CA3539AA_AS,H.pylori,hspHeco2,high
HEL_CA3371AA_AS,H.pylori,hspHeco2,high
HEL_CA4011AA_AS,H.pylori,hspHeco2,high
HEL_CA4143AA_AS,H.pylori,hspHeco2,high
HEL_CA3542AA_AS,H.pylori,hspHeco2,high
HEL_CA3533AA_AS,H.pylori,hspHeco2,high
HEL_CA3521AA_AS,H.pylori,hspHeco2,high
HEL_CA3520AA_AS,H.pylori,hspHeco2,high
HEL_CA3564AA_AS,H.pylori,hspHeco2,high
HEL_CA3526AA_AS,H.pylori,hspHeco2,high
