Recipient num.regions Adygei Armenian Balochi BantuKenya BantuSouthAfrica Basque Bedouin Belorussian BiakaPygmy Bulgarian Burusho Cambodian Chuvash Colombian Cypriot Dai Daur Druze EastSicilian Egyptian English Ethiopian EthiopianJew Finnish French Georgian GermanyAustria Greek Hadza Han HanNchina Hazara Hezhen Hungarian IndianJew Indian Iranian Ireland Japanese Jordanian Kalash Karitiana Lahu Lezgin Lithuanian Makrani Mandenka Maya MbutiPygmy Melanesian Miao Mongola Moroccan Mozabite Myanmar Naxi NorthItalian Norwegian Orcadian Oroqen Palestinian Papuan Pathan Pima Polish Romanian Russian Sandawe SanNamibia SanKhomani Sardinian Saudi Scottish She Sindhi SouthItalian Spanish Surui Syrian Tu Tujia Tunisian Turkish Tuscan UAE Uygur Uzbekistani Welsh WestSicilian Xibo Yakut Yemeni Yi
BrahuiYorubaSimulation1 2 1.925118 1.633623 4.497807 3.993502 1.275274 2.153321 5.024920 0.743674 8.308627 2.338414 3.307104 0.902435 2.295096 0.595197 1.453329 0.897922 0.698917 5.777008 1.080456 2.069310 0.443501 3.669481 4.112147 0.103358 3.057006 3.074245 1.628741 2.282484 0.282937 3.156860 0.727563 3.243185 0.518155 1.380469 2.015091 2.127190 1.276469 0.752096 1.975323 2.649002 2.737045 1.918785 0.424175 1.812920 0.969099 6.646435 6.901381 2.154411 2.892759 0.632082 0.926295 0.812600 5.283819 3.560763 0.214788 0.590561 0.966604 1.929129 1.365130 0.630940 4.459182 1.780586 2.586936 1.071094 2.505117 1.380475 3.667818 3.949443 1.557500 4.254290 3.339656 1.051449 1.057161 0.645190 5.036921 2.149482 4.482711 0.567804 2.832549 1.638703 1.339820 1.637951 2.285258 1.403217 0.685238 0.772593 1.736024 0.667175 1.602420 0.638645 3.135217 0.544825 0.974866
BrahuiYorubaSimulation2 2 4.696554 1.887478 6.453302 3.943846 1.118723 2.151942 9.479409 1.217837 5.387062 1.996869 6.267470 0.936179 2.311546 0.402667 1.804444 0.629382 0.534504 4.954877 1.692329 0.714931 1.109940 1.865625 1.493252 0.110717 3.336507 3.991842 0.533455 2.817794 0.292862 2.308459 1.135860 1.793145 1.452235 2.216207 1.230546 1.959779 3.009806 0.739739 2.000591 3.122496 3.813258 1.014503 0.585422 2.450581 1.692808 5.775208 3.789817 1.805750 0.954746 2.223813 0.664848 0.464263 4.211817 2.651311 0.252720 0.462037 1.263138 2.561537 2.726743 0.716205 6.344627 1.942846 2.408204 0.972130 1.520881 1.740778 3.208127 5.102155 0.176177 3.862028 2.525267 1.518424 0.842478 0.901512 4.465657 1.611583 2.885203 0.634933 3.213882 1.446763 0.600489 1.290016 3.257524 0.746341 2.290019 1.219253 2.447774 0.319461 1.504872 0.867907 1.986062 0.702170 0.645214
BrahuiYorubaSimulation3 2 1.425201 1.808601 7.561279 5.382022 3.887565 2.100606 5.935314 0.458999 5.414261 2.196591 2.969969 0.622758 1.894112 0.507312 0.674393 0.407534 0.634315 5.616398 0.523960 1.021359 0.615977 3.492669 1.970268 0.108219 3.039669 2.300747 0.429892 2.155200 0.787011 3.312310 0.604598 2.984036 0.566967 1.790788 1.791931 1.633912 3.081973 0.403537 1.633723 1.357284 2.744494 1.246928 0.696845 2.152780 0.810037 7.899063 19.250219 1.411768 3.045684 0.758696 0.472403 1.580245 3.813814 4.385123 0.129383 0.363578 0.885824 1.638228 1.468505 0.740735 5.951247 1.433856 3.920831 0.739554 1.122435 0.762222 3.087464 8.422893 0.807415 4.383061 2.429993 0.881404 0.564438 0.394296 2.895689 2.385167 2.955093 0.480093 2.863181 0.496584 0.498526 1.068031 2.106589 0.547373 0.852512 1.179663 1.068576 0.235198 0.779639 0.910713 2.325521 0.510783 0.538658
BrahuiYorubaSimulation4 3 2.173964 3.306137 8.325016 11.724584 5.035312 3.529287 9.202480 1.376220 13.792452 3.462319 5.019053 0.972434 2.703319 0.695085 2.105871 1.698686 1.005450 5.551447 1.881799 2.265632 0.650307 4.935234 2.059678 0.426309 6.007229 3.190716 0.401845 2.447425 0.373938 4.019862 1.065348 3.571257 0.803526 2.015193 2.027647 3.693571 2.535510 1.549869 3.344971 3.520910 3.762516 1.304544 0.723546 2.506085 2.118214 4.921467 21.014132 2.350871 5.778545 1.035094 0.976173 0.935837 3.532649 5.588024 0.259990 0.679263 1.751687 3.915240 2.493471 0.894792 7.915450 1.508974 6.127220 1.530968 2.800621 2.885490 3.984470 13.549493 2.309104 12.115707 3.597008 1.596328 0.565660 1.199131 5.171686 3.061542 4.746615 1.332535 1.770488 1.343866 0.968192 1.697565 2.715252 1.090306 2.645727 1.426960 1.601661 0.376392 1.801476 1.049595 2.264826 1.999466 0.902241
BrahuiYorubaSimulation5 3 3.666615 2.655024 7.308726 4.434218 4.553490 4.470128 7.006391 1.274918 5.736713 4.070491 7.072458 2.612520 2.056485 0.938250 2.982898 1.667485 0.792382 7.846733 1.185966 2.580004 0.904860 5.964043 4.137962 0.470006 3.684582 4.196949 0.569617 3.329057 1.053230 4.432325 1.753788 4.144214 1.116463 3.043849 2.419623 2.784473 2.580879 1.076376 3.809988 3.715034 5.320572 1.893257 1.144375 3.361151 1.282527 7.962421 9.406043 2.527853 3.662515 1.346957 1.145750 1.074179 3.719076 7.612476 0.514485 1.152856 2.406979 3.900972 3.451146 1.216846 10.329235 2.318143 6.452683 1.685317 2.716995 2.945767 4.178390 7.099376 1.133767 5.203118 4.448363 3.237194 0.803799 1.544395 8.482987 3.823195 6.339996 1.510419 3.995508 0.854475 2.274426 3.512380 3.101474 1.262883 3.259516 3.008740 2.185077 0.567003 1.482061 1.315208 3.645089 0.576182 0.796842
BrahuiYorubaSimulation6 2 2.685785 2.054494 6.779337 1.758685 0.924583 3.046404 7.288219 1.800776 3.405626 2.952924 4.280565 0.678345 1.891575 0.693090 2.569513 0.568835 0.649861 7.238539 1.268022 1.527855 1.361843 3.024081 1.665192 0.293088 5.240563 2.701771 0.386562 2.221014 0.913060 2.600925 0.657932 3.904003 1.064480 2.808523 1.129474 2.189323 1.787432 1.826797 1.810029 2.244600 2.849576 1.068815 0.558789 4.684821 1.104914 6.593995 3.434845 2.005688 0.910285 0.905036 1.049978 0.908775 2.102804 2.328643 0.189080 0.783743 1.805418 2.320571 2.339895 0.711877 5.555735 1.375673 5.030961 1.884359 2.413088 1.275531 3.493160 2.468628 0.245871 2.089545 4.128799 0.934395 0.480101 0.647968 3.837930 1.826782 4.740552 0.891371 2.577579 0.899124 1.150807 1.470594 2.208244 1.208030 2.549645 1.383411 1.945928 0.662832 1.488615 1.486750 3.516957 1.547431 0.781276
BrahuiYorubaSimulation7 2 2.540172 1.994749 7.456039 1.384311 0.668276 3.689972 8.620992 0.995296 2.099495 3.214448 5.070288 0.672993 1.877055 0.657180 1.624902 0.770070 0.696843 6.291210 1.188211 1.394327 0.648763 1.840524 1.524804 0.108357 3.817354 2.451138 0.414270 2.395355 0.161001 2.315680 0.537128 2.699104 0.563341 3.427385 1.247142 3.281436 2.569335 1.892085 2.390751 2.822831 3.486213 1.386017 0.582537 3.476782 2.441668 9.088097 4.032219 3.050540 0.539744 0.767078 0.567496 0.761752 2.380438 2.100384 0.147782 0.468724 1.780632 2.544074 1.546381 0.650297 6.516023 2.267703 5.239562 1.845388 1.657434 1.924004 2.130669 3.687789 0.153215 3.316269 3.589510 1.369237 0.415305 0.578165 4.853120 1.640861 3.906696 0.630918 1.578761 0.979750 0.770622 2.102833 3.347266 1.111474 1.259953 1.300247 1.210593 1.102227 1.936131 1.252462 2.386948 1.647109 1.060830
BrahuiYorubaSimulation8 2 2.826526 1.709243 8.535635 1.296661 1.318688 2.360989 6.407316 1.025727 4.613089 1.957590 3.941179 0.772607 1.682254 0.946649 1.385114 0.737202 0.565482 7.420799 1.605262 1.061285 0.734616 1.363898 1.051600 0.194888 3.679897 3.342974 0.560592 3.001747 0.153520 2.425601 0.753957 4.002760 0.923957 1.924115 1.877246 1.580506 2.453599 0.550543 1.712444 2.017846 4.362442 1.749825 0.935914 1.425314 1.803075 4.606817 6.515014 3.021769 0.552616 0.905506 0.852565 0.542155 2.000134 2.341239 0.283163 0.445310 2.108944 2.053915 3.578205 0.447110 10.430667 1.232810 5.965823 1.925220 2.290137 1.157575 2.807897 2.891447 0.262926 4.295002 2.886870 1.666280 0.508763 0.544515 5.010330 2.468740 3.556973 0.567589 2.785878 1.575278 0.805521 1.790243 2.088396 1.182301 1.946399 1.150693 2.316056 0.389130 1.992036 1.689008 1.828999 0.632860 0.856778
BrahuiYorubaSimulation9 2 1.574884 2.104132 5.817676 3.226071 3.939586 3.120341 5.207515 1.003860 4.992193 2.085912 3.104935 1.191657 3.222194 0.495447 1.144208 0.702625 0.564966 5.070366 0.988688 1.745360 0.497224 2.798304 3.683044 0.259349 3.793168 2.428867 0.295094 1.815524 1.343481 3.198052 0.939128 2.646654 0.529409 2.577483 0.796293 3.027203 2.296248 1.494849 2.071426 1.874192 2.905346 0.825941 0.749524 1.971485 1.225662 7.055492 7.729705 1.484040 3.592229 0.626355 1.122756 0.876394 2.414561 4.061375 0.185596 0.546896 2.717293 2.163575 1.192077 1.181670 5.145524 1.144141 4.199338 1.292630 2.428761 1.179701 3.103455 5.561689 1.468179 5.108335 2.985752 0.837436 0.465802 0.604489 4.711459 1.821904 3.509495 1.865711 1.320862 0.888231 1.023851 2.470318 2.267153 0.720647 1.267700 0.804617 1.197045 0.270657 1.794460 0.748564 2.471458 0.279160 0.787670
BrahuiYorubaSimulation10 2 2.175812 2.144745 5.107784 2.750034 4.023494 2.639635 5.095479 0.748641 4.060237 2.764664 3.939993 0.887980 1.734781 0.436900 1.360990 1.453778 0.560137 6.875561 0.965538 1.909506 0.535037 1.492770 1.936824 0.346464 4.793486 3.447271 0.661093 2.496396 0.244417 1.685079 0.843822 1.925040 0.577998 2.019682 0.652288 1.951741 2.872351 0.412106 2.702443 2.586269 2.676254 0.859865 0.438313 4.342339 1.126638 8.154893 8.673575 1.367224 2.503350 0.699986 0.469406 0.637635 2.399582 2.754089 0.248085 0.469881 2.171574 1.687493 2.192233 0.712641 5.403124 1.911660 5.719949 1.178887 1.388441 1.441062 3.261173 5.637440 0.410848 4.666537 2.771303 2.062974 0.844397 0.471582 5.265522 2.653787 4.777426 0.428930 2.063934 0.617452 0.546453 1.518070 2.064559 0.805564 1.021288 1.063110 2.341365 0.439881 1.822324 1.002032 2.424529 0.379719 1.294906
