Recipient Adygei Armenian Balochi BantuKenya BantuSouthAfrica Basque Bedouin Belorussian BiakaPygmy Bulgarian Burusho Cambodian Chuvash Colombian Cypriot Dai Daur Druze EastSicilian Egyptian English Ethiopian EthiopianJew Finnish French Georgian GermanyAustria Greek Hadza Han HanNchina Hazara Hezhen Hungarian IndianJew Indian Iranian Ireland Japanese Jordanian Kalash Karitiana Lahu Lezgin Lithuanian Makrani Mandenka Maya MbutiPygmy Melanesian Miao Mongola Moroccan Mozabite Myanmar Naxi NorthItalian Norwegian Orcadian Oroqen Palestinian Papuan Pathan Pima Polish Romanian Russian Sandawe SanNamibia SanKhomani Sardinian Saudi Scottish She Sindhi SouthItalian Spanish Surui Syrian Tu Tujia Tunisian Turkish Tuscan UAE Uygur Uzbekistani Welsh WestSicilian Xibo Yakut Yemeni Yi
BrahuiYorubaSimulation1 0.001197 0.003630 0.019915 0.037662 0.001749 0.002698 0.007909 0.000477 0.129332 0.001642 0.002645 0.001029 0.001573 0.002235 0.001050 0.002544 0.000381 0.005230 0.002244 0.001431 0.000276 0.003058 0.318125 0.000218 0.001897 0.003840 0.000447 0.003445 0.029403 0.004021 0.000628 0.005593 0.000901 0.000921 0.001906 0.000964 0.002282 0.000277 0.002633 0.002868 0.410682 0.000697 0.000412 0.005138 0.000515 0.411036 0.035241 0.003159 0.001724 0.000920 0.000992 0.000388 0.089671 0.007617 0.000189 0.001023 0.002458 0.001280 0.002507 0.000641 0.003966 0.000660 0.002202 0.000797 0.001080 0.000656 0.001813 0.010914 0.005286 0.001333 0.001989 0.001137 0.000372 0.000782 0.004156 0.000829 0.002055 0.000343 0.001139 0.000855 0.001526 0.002024 0.001513 0.012463 0.000977 0.000762 0.000886 0.000645 0.000734 0.002037 0.001745 0.000111 0.000663
BrahuiYorubaSimulation2 0.033378 0.003161 0.029892 0.006351 0.018749 0.003973 1.290365 0.000547 0.197744 0.002002 0.005002 0.003179 0.002283 0.001126 0.022354 0.001161 0.000820 0.030288 0.001916 0.001640 0.001128 0.001286 0.086636 0.000126 0.007742 0.007766 0.000302 0.004620 0.027807 0.008535 0.003723 0.010222 0.001751 0.001833 0.003518 0.001969 0.001598 0.000537 0.004440 0.017763 0.008883 0.004162 0.000404 0.005228 0.016250 0.278858 0.002909 0.004178 0.002126 0.009510 0.000556 0.001797 0.029477 0.005860 0.000526 0.001556 0.001611 0.038246 0.008353 0.004312 0.077505 0.011673 0.020046 0.002987 0.001909 0.001401 0.003638 0.026148 0.000295 0.003096 0.012098 0.001268 0.013270 0.000966 0.158228 0.002797 0.007864 0.002618 0.085154 0.000869 0.002578 0.001654 0.005211 0.005143 0.001403 0.001115 0.001427 0.000545 0.001951 0.000624 0.009396 0.000264 0.001676
BrahuiYorubaSimulation3 0.000721 0.030917 0.309614 1.206324 0.003768 0.001164 0.009378 0.000268 0.012206 0.001502 0.003290 0.002408 0.009322 0.000559 0.000944 0.000650 0.000417 0.009104 0.000431 0.003787 0.000432 0.086749 0.448092 0.014347 0.001380 0.044574 0.000287 0.047868 0.000190 0.003044 0.000765 0.067118 0.000623 0.002894 0.000755 0.010161 0.001324 0.000187 0.001408 0.001221 0.002198 0.001843 0.000571 0.037999 0.000405 0.008878 0.066660 0.001734 0.001286 0.000279 0.000832 0.002739 0.006292 0.001810 0.000107 0.000817 0.000378 0.001361 0.000925 0.000423 0.002308 0.001945 0.065501 0.000628 0.005627 0.000466 0.002075 0.670471 0.000259 0.004874 0.002082 0.002643 0.000267 0.000642 0.001912 0.003470 0.002343 0.000646 0.001703 0.000412 0.000697 0.002803 0.006269 0.000395 0.000310 0.002456 0.004406 0.000137 0.000392 0.000644 0.001136 0.000246 0.000619
BrahuiYorubaSimulation4 0.026142 0.002654 0.003084 0.603781 0.032203 0.002416 0.186374 0.000756 0.878744 0.002304 0.040911 0.015846 0.001190 0.000207 0.002867 0.001596 0.000674 0.007123 0.000718 0.003809 0.000309 0.053272 0.012445 0.000126 0.007349 0.015611 0.000175 0.009702 0.000822 0.004814 0.005340 0.133022 0.000409 0.005942 0.001093 0.007752 0.002662 0.002062 0.001596 0.116040 0.003980 0.000721 0.000338 0.009012 0.001888 0.146285 0.044366 0.005988 0.057033 0.003875 0.000499 0.000605 0.006694 0.255169 0.000167 0.000526 0.000919 0.019042 0.001045 0.001372 0.115558 0.011398 0.002859 0.000352 0.002199 0.002627 0.003009 0.263153 0.004077 0.243374 0.005960 0.004088 0.000170 0.006950 0.008615 0.004664 0.004766 0.000208 0.003137 0.000455 0.000535 0.002197 0.002292 0.014768 0.025841 0.001495 0.002333 0.000325 0.001415 0.001469 0.004830 0.002641 0.000632
BrahuiYorubaSimulation5 0.019626 0.007386 0.935690 0.032560 0.012236 0.066873 0.027435 0.011851 0.025843 0.025042 0.019824 0.013622 0.107389 0.005197 0.009501 0.002440 0.001221 0.022921 0.001975 0.004998 0.001861 0.004427 0.017295 0.000935 0.025396 0.035675 0.001267 0.038668 0.065632 0.006085 0.001831 0.003936 0.001623 0.018973 0.002715 0.005493 0.010540 0.016204 0.008416 0.005379 0.011221 0.008135 0.002313 0.007856 0.002910 0.133844 0.061868 0.010442 0.005499 0.001481 0.007275 0.001459 0.027061 0.018291 0.001382 0.001117 0.024361 0.293283 0.029563 0.001280 0.270234 0.002771 0.045081 0.004598 0.007719 0.009678 0.042127 0.076150 0.000757 0.014457 0.023499 0.004926 0.001805 0.001760 0.059189 0.028584 0.288076 0.003619 0.165301 0.003799 0.004861 0.002294 0.012047 0.019216 0.005877 0.006715 0.006216 0.001837 0.010579 0.002047 0.005946 0.000590 0.003916
BrahuiYorubaSimulation6 0.009717 0.003951 0.905184 0.006521 0.003807 0.002124 0.004206 0.001039 0.001236 0.001189 0.011339 0.000588 0.004519 0.000280 0.002454 0.000616 0.000546 0.040574 0.000331 0.000544 0.000345 0.003816 0.001061 0.001629 0.005426 0.055507 0.000146 0.002484 0.000327 0.004020 0.001665 0.006072 0.000346 0.001415 0.004492 0.044790 0.005767 0.000557 0.002723 0.002815 0.005900 0.000531 0.000552 0.002268 0.002974 0.062539 0.001736 0.001464 0.000376 0.000707 0.000517 0.000737 0.003260 0.023969 0.000371 0.000375 0.004907 0.003547 0.004220 0.001654 0.005379 0.002430 0.034688 0.000371 0.013001 0.010146 0.005172 0.002035 0.000284 0.001632 0.014191 0.000835 0.000326 0.002117 0.020338 0.033819 0.003027 0.000561 0.008619 0.000730 0.000632 0.006659 0.001509 0.000633 0.000774 0.003166 0.001226 0.001779 0.004621 0.000542 0.005868 0.000195 0.005193
BrahuiYorubaSimulation7 0.003409 0.001788 0.011002 0.046765 0.004398 0.010955 0.478327 0.003430 0.004705 0.009693 0.008212 0.000428 0.020883 0.000274 0.002875 0.001227 0.003518 0.021186 0.001174 0.001835 0.001263 0.004040 0.007405 0.000122 0.006055 0.002242 0.000540 0.004408 0.000147 0.004684 0.001228 0.008894 0.002987 0.002530 0.003408 0.011406 0.005463 0.002538 0.015784 0.004529 0.008545 0.000919 0.001460 0.004618 0.004639 0.040781 0.016112 0.003113 0.036218 0.001499 0.000876 0.002447 0.007209 0.004542 0.000387 0.000574 0.005373 0.001859 0.002846 0.004567 0.009244 0.001533 0.009978 0.000845 0.001887 0.004420 0.002675 0.018989 0.002160 0.028169 0.007402 0.002294 0.000731 0.002016 0.020310 0.002128 0.012114 0.000387 0.002617 0.004729 0.001347 0.003732 0.001742 0.009636 0.000836 0.003965 0.006398 0.006509 0.004980 0.001737 0.013385 0.055530 0.001555
BrahuiYorubaSimulation8 0.003587 0.001965 0.003770 0.000862 0.012401 0.002754 0.012908 0.000634 0.000999 0.003475 0.005611 0.001940 0.001601 0.000345 0.001285 0.000618 0.000411 0.110424 0.001859 0.007435 0.000482 0.003437 0.003479 0.000161 0.004265 0.032332 0.001665 0.006016 0.002463 0.015140 0.000436 0.002478 0.002645 0.001937 0.001557 0.002693 0.471971 0.000605 0.006304 0.003627 0.002408 0.000765 0.001209 0.002484 0.000904 0.013513 0.006635 0.002294 0.005046 0.002708 0.001265 0.000293 0.004711 0.003320 0.000255 0.001083 0.000509 0.002560 0.321867 0.001056 0.009658 0.002440 0.489532 0.000954 0.001516 0.003423 0.010258 0.004069 0.000319 0.004282 0.002548 0.000631 0.000355 0.000430 0.004417 0.005071 0.003985 0.000489 0.006862 0.000322 0.000394 0.000991 0.002252 0.000596 0.069667 0.001094 0.488826 0.001788 0.004483 0.000884 0.002117 0.000134 0.000551
BrahuiYorubaSimulation9 0.000763 0.004822 0.146210 0.012308 0.001966 0.001247 0.003442 0.000694 0.015469 0.000937 0.006302 0.002983 0.001143 0.000420 0.000430 0.003578 0.001030 0.002273 0.000664 0.094555 0.000136 0.042806 0.003472 0.000055 0.003316 0.021640 0.000215 0.002189 0.000170 0.003037 0.000445 0.002805 0.000447 0.000923 0.000591 0.001633 0.001267 0.000929 0.001528 0.000984 0.001472 0.000628 0.000827 0.001074 0.000507 0.032078 0.007563 0.001206 0.008443 0.002817 0.000356 0.000513 0.003772 0.005771 0.000068 0.002143 0.000369 0.001898 0.000601 0.001044 0.011531 0.000740 0.001233 0.000633 0.001114 0.000504 0.001991 0.005907 0.004273 0.003877 0.002298 0.000335 0.000430 0.000546 0.001352 0.001246 0.002619 0.000871 0.000700 0.000572 0.000563 0.002358 0.000712 0.000478 0.014391 0.000805 0.000472 0.000303 0.000775 0.000261 0.001083 0.000110 0.000889
BrahuiYorubaSimulation10 0.005680 0.046358 0.089892 0.017345 0.002114 0.012944 0.009261 0.007410 0.009381 0.009162 0.207306 0.001755 0.006825 0.000171 0.041624 0.000411 0.000570 0.013809 0.000543 0.298204 0.002099 0.012868 0.001903 0.001260 0.017524 0.005142 0.000239 0.006172 0.000087 0.007849 0.001025 0.001197 0.000148 0.017229 0.001325 0.004761 0.002589 0.000499 0.009986 0.044511 0.701438 0.000605 0.000207 0.008143 0.004327 0.047181 0.011113 0.002067 0.006482 0.000829 0.001456 0.005792 0.012688 0.010667 0.004958 0.002316 0.001884 0.010104 0.010238 0.000612 0.026832 0.001102 0.007481 0.000529 0.002924 0.044002 0.005331 0.001894 0.000328 0.611887 0.026188 0.002511 0.001556 0.001722 0.009637 0.006978 0.012235 0.000158 0.004578 0.007670 0.000466 0.006417 0.002211 0.002986 0.003105 0.000832 0.001786 0.000306 0.002945 0.000573 0.004822 0.001154 0.000968
